row_seq|input_address|zip
738810|6817 Eldorado-Federalsburg RD , Federalsburg, MD 0000|0000
738811|5666 Finchville-Reliance RD , Federalsburg, MD 0000|0000
738818| E Line RD , Pittsville, MD 0000|0000
218626|355 Worsell DR , other, MD 00000|00000
718565|2646 Hamilton PL , Waldorf, MD 00000|00000
718570|7725 Marshall Corner RD , Pomfret, MD 00000|00000
718574|6920 Caribou CT , Waldorf, MD 00000|00000
718665|3409 Linden Grove PL , Bensville, MD 00000|00000
735713|21648 ATALANTA ST , HERMANVILLE, MD 00000|00000
739760|100 WHITE MARSH PARK DR , BOWIE, MD 00000|00000
739768|1022 Mastline DR , Annapolis, MD 00000|00000
740142|4011 CROYDON LN , BOWIE, MD 00000|00000
740361|9241 PINE NUT CT , SCAGGSVILLE, MD 00000|00000
740916|4530 ANNAPOLIS RD , ENGLISH COUNCIL, MD 00000|00000
1695073|12330 Charles County, MD , Charles County, MD 00000|00000
1695082|xxx Charles County, MD , Charles County, MD 00000|00000
1695107| Charles County, MD , Charles County, MD 00000|00000
1695161|10615 Charles County, MD , Charles County, MD 00000|00000
654281|506 ZOAR RD , CHARLEMONT, MD 01339|01339
741182|220 W LAKE DR , ANNAPOLIS, MD 0819|0819
742067|2630 SISSON ST , BALTIMORE, MD 11|11
742353|3442 KESWICK RD FRONT, BALTIMORE, MD 11|11
742360|3900 ROLAND AVE , BALTIMORE, MD 11|11
742750|1107 ROLAND HEIGHTS AVE FRON, BALTIMORE, MD 11|11
742790|1400 W COLD SPRING LN , BALTIMORE, MD 11|11
742888|3100 ST PAUL ST , BALTIMORE, MD 11|11
742912|2317 WINDSOR AVE , BALTIMORE, MD 11|11
743272|1 E UNIVERSITY PKWY , BALTIMORE, MD 11|11
743704|110 W 39TH ST APT 1316, BALTIMORE, MD 11|11
743973|3900 N CHARLES ST UNIT 409, BALTIMORE, MD 11|11
744072|1307 W 42ND ST , BALTIMORE, MD 11|11
745317|3800 PLEASANT PL REAR, BALTIMORE, MD 11|11
747373|2 W UNIVERSITY PKWY , BALTIMORE, MD 11|11
747710|3400 SAN MARTIN DR , BALTIMORE, MD 11|11
1808059| Rt 36 ST , Corrigansville, MD 11111|11111
742414|5706 RANNY RD , BALTIMORE, MD 12121|12121
746724|5025 WESTHILLS RD , BALTIMORE, MD 12129|12129
748313|8511 Maxwell Frye RD , Millersville, MD 12140|12140
219832| 12749 STILL POND RD , STILL POND, MD 12749|12749
1410163|14734 TROLLEY AVE , Cascade, MD 17214|17214
220675| Dion RD , Federalsburg, MD 19933|19933
221128|6379 LETERBUC LN , DELMAR, MD 19940|19940
738728|5603 Galestown Newharts Mill RD , Brookview, MD 19942|19942
738736|5666 FINCHVILLE RELIANCE RD , Brookview, MD 19942|19942
738742|5463 INDIANTOWN RD , Brookview, MD 19942|19942
739189|37304 LIGHTHOUSE RD , SUSX, MD 19975|19975
748642|501 Fairmount DR , Annapolis, MD 20137|20137
1695607| N Maple AVE , Brunswick, MD 20138|20138
1695687|819 brunswick ST , Brunswick, MD 20138|20138
740407|121 JANELIN DR , GLEN BURNIE, MD 20161|20161
740528|7790 EAST SHORE RD , GLEN BURNIE, MD 20161|20161
748461|3255 Solomons Island RD , Edgewater, MD 20413|20413
717392|4709 orleans CIR , Waldorf, MD 20601|20601
717393|2646 Hamilton PL , Waldorf, MD 20601|20601
717401|3420 Milstead , Waldorf, MD 20601|20601
717418|2563 Robinson , Waldorf, MD 20601|20601
717419|3200 Old Washington RD , Waldorf, MD 20601|20601
717421|70 Village ST , Waldorf, MD 20601|20601
717423|4890 quade CIR , Waldorf, MD 20601|20601
717429|2215 Crain HWY , Waldorf, MD 20601|20601
717430|12260 Wendy LN , Waldorf, MD 20601|20601
717439|11493 Breezy Point CT , Waldorf, MD 20601|20601
717440|11493 Breezy Point CT , Waldorf, MD 20601|20601
717444|50 Post Office RD , Waldorf, MD 20601|20601
717448|4199 Drake CT , Waldorf, MD 20601|20601
717462|710 B Barrington DR , Waldorf, MD 20601|20601
717464|3287 Huntington CIR , Waldorf, MD 20601|20601
717467|11610 St. Francis , Waldorf, MD 20601|20601
717469|4171 Bluebird DR , Waldorf, MD 20601|20601
717475|2005 St. Thomas DR , Waldorf, MD 20601|20601
717483|2607 crain highway , Waldorf, MD 20601|20601
717487|2800 Homette PL , Waldorf, MD 20601|20601
717490|3884 Light Arms PL , Waldorf, MD 20601|20601
717495|1150 Harvard RD , Waldorf, MD 20601|20601
717496|3941 Wintergreen PL , Waldorf, MD 20601|20601
717499|2144 Cedar Tree CT , Waldorf, MD 20601|20601
717500|12300 Vivian Adams DR , Waldorf, MD 20601|20601
717503|3241 Plaza DR , Waldorf, MD 20601|20601
717507|122 Stoddert AVE , Waldorf, MD 20601|20601
717508|141 Jefferson RD , Waldorf, MD 20601|20601
717514|4684 mesquite CT , Waldorf, MD 20601|20601
717515|5275 Celestial LN , Waldorf, MD 20601|20601
717520|2020 Wedgewood PL , Waldorf, MD 20601|20601
717521|1154 Harvard RD , Waldorf, MD 20601|20601
717522|2548 Lisa DR , Waldorf, MD 20601|20601
717523|2501 Lisa DR , Waldorf, MD 20601|20601
717524| Green Spring ST , Waldorf, MD 20601|20601
717535|4612 Scotts Dale PL , Waldorf, MD 20601|20601
717541|4000 Green Spring ST , Waldorf, MD 20601|20601
717542|3315 Crain HWY , Waldorf, MD 20601|20601
717547|2711 Mattawoman Beantown RD , Waldorf, MD 20601|20601
717550|5007 Nicholas RD , Waldorf, MD 20601|20601
717555|3443 Hyacinth PL , Waldorf, MD 20601|20601
717560|2653 Hunt PL , Waldorf, MD 20601|20601
717563|3006 Gallery PL , Waldorf, MD 20601|20601
717571|12558 Mirk wood LN , Waldorf, MD 20601|20601
717572|3090 Old Washington RD , Waldorf, MD 20601|20601
717573|3221 Mattawomen RD , Waldorf, MD 20601|20601
717575|10494 Sage PL , Waldorf, MD 20601|20601
717576|3106 Gideon CT , Waldorf, MD 20601|20601
717578|14700 Woodville RD , Waldorf, MD 20601|20601
717581| Vivian Adams DR , Waldorf, MD 20601|20601
717583|4770 Crain HWY , Waldorf, MD 20601|20601
717586|3422 RYON CT , Waldorf, MD 20601|20601
717589| St. Charles PKY , Waldorf, MD 20601|20601
717596|300 Garner AVE , Waldorf, MD 20601|20601
717597|6149 Sea lion PL , Waldorf, MD 20601|20601
717604|208 Hunt PL , Waldorf, MD 20601|20601
717607| Homette PL , Waldorf, MD 20601|20601
717608| Simpson DR , Waldorf, MD 20601|20601
717609|3356 Ryon CT , Waldorf, MD 20601|20601
717614|1121 hamlin RD , Waldorf, MD 20601|20601
717615|4610 Taylor CT , Waldorf, MD 20601|20601
717616|12558 Mirkwood LN , Waldorf, MD 20601|20601
717617|4277 Queen CT , Waldorf, MD 20601|20601
717618|12133 Ell LN , Waldorf, MD 20601|20601
717619|2062 Tanglewood DR , Waldorf, MD 20601|20601
717625|223 Barksdale AVE , Waldorf, MD 20601|20601
717632| Posey CT , Waldorf, MD 20601|20601
717636|4578 Scottsdale PL , Waldorf, MD 20601|20601
717638|745 Hatfield CT , Waldorf, MD 20601|20601
717639|22A Industrial Park DR , Waldorf, MD 20601|20601
717641|+5 Keepsake PL , Waldorf, MD 20601|20601
717645|5133 Shawe PL , Waldorf, MD 20601|20601
717647|4703 Rookewood PL , Waldorf, MD 20601|20601
717648|3405 Forest RD , Waldorf, MD 20601|20601
717670|2953 St. Peters Church RD , Waldorf, MD 20601|20601
717707|2215 Crain HWY , Waldorf, MD 20601|20601
717754|11853 Edmont PL , Waldorf, MD 20601|20601
717765|11806 Park Waldorf LA , Waldorf, MD 20601|20601
718208|15322 COLONY PL , Waldorf, MD 20601|20601
718225|12830 Simpson DR , Waldorf, MD 20601|20601
718293|7150 BENSVILLE RD , WALDORF, MD 20601|20601
718344|6838 COLOGO CT , WALDORF, MD 20601|20601
718357|6149 SEA LION PL , WALDORF, MD 20601|20601
718374|9665 DAFFODILE PL , WALDORF, MD 20601|20601
718709|9985 Bunkerhill Road , Waldorf, MD 20601|20601
718711|2971 Chesnut Drive , Waldorf, MD 20601|20601
718719|8200 Seven Pines Lane , Waldorf, MD 20601|20601
718736|4890 Quade Circle , Waldorf, MD 20601|20601
718739|2215 Crain Highway , Waldorf, MD 20601|20601
718742|8909 Cottongrass Street , Waldorf, MD 20601|20601
718745|4200 Altamont Place , Waldorf, MD 20601|20601
718753|50 Post Office Road , Waldorf, MD 20601|20601
718769|2690 Crain Highway , Waldorf, MD 20601|20601
718823|11130 Mall Circle , Waldorf, MD 20601|20601
718849|10709 Esprit Place , Waldorf, MD 20601|20601
718869|6838 Cologo Court , Waldorf, MD 20601|20601
718885|3144 Crain Highway , Waldorf, MD 20601|20601
718889|175 Post Office Road , Waldorf, MD 20601|20601
718900|3090 Old Washington Road , Waldorf, MD 20601|20601
718903|5101 Tarpon Court , Waldorf, MD 20601|20601
718906|11216A Heron Court , Waldorf, MD 20601|20601
718908|3106 Gideon Court , Waldorf, MD 20601|20601
718920|6149 Sea Lion Place , Waldorf, MD 20601|20601
718932|4140 Old Washington Road , Waldorf, MD 20601|20601
718949|12558 Mirkwood Lane , Waldorf, MD 20601|20601
718955|10700 Billingsley Road , Waldorf, MD 20601|20601
718959|9972 Morristown Place , Waldorf, MD 20601|20601
718970|2041 Pineview Court , Waldorf, MD 20601|20601
718974|745 Hatfield Court , Waldorf, MD 20601|20601
719059|3256 Westdale CT , Waldorf, MD 20601|20601
719192|12558 Mirkwood LA , Waldorf, MD 20601|20601
719193|2464 Shawnee LA , Waldorf, MD 20601|20601
719249|4277 Queen CT , Waldorf, MD 20601|20601
734734|12830 Simpson DR , Waldorf, MD 20601|20601
717414|2340 Mail Coach CT , Waldorf, MD 20602|20602
717445|1008 Stoddert AVE , Waldorf, MD 20602|20602
717459|3004 Gallery PL , Waldorf, MD 20602|20602
717473|1152 Bannister CIR , Waldorf, MD 20602|20602
717474|3984 Northgate PL , Waldorf, MD 20602|20602
717513|2506 goldenrod CT , Waldorf, MD 20602|20602
717517|3395 S Leonardtown RD , Waldorf, MD 20602|20602
717565|135 Post Office RD , Waldorf, MD 20602|20602
717580|2020 Tanglewood DR , Waldorf, MD 20602|20602
717599|1009 Dorset DR , Waldorf, MD 20602|20602
717613|175 Post Office RD , Waldorf, MD 20602|20602
717628|3000 Gallery PL , Waldorf, MD 20602|20602
717651|3002 Walnut LA , Waldorf, MD 20602|20602
717652|4709 Orleans CIR , Waldorf, MD 20602|20602
717653|44D Industrial Park DR , Waldorf, MD 20602|20602
717654|13601 Cherry tree Crossing RD , Waldorf, MD 20602|20602
717656|11145 Mall CIR , Waldorf, MD 20602|20602
717657|2040 St. Thomas DR , Waldorf, MD 20602|20602
717658|10200 LaPlata RD , Waldorf, MD 20602|20602
717659|11080 Weymouth CT 221, Waldorf, MD 20602|20602
717660|9985 Bunker Hill RD , Waldorf, MD 20602|20602
717661|2971 Chestnut DR , Waldorf, MD 20602|20602
717662|11479 Avenel CT , Waldorf, MD 20602|20602
717663|4225 Southwinds DR , Waldorf, MD 20602|20602
717664|2256 Crain HWY , Waldorf, MD 20602|20602
717665|12304 Burning Oak CT , Waldorf, MD 20602|20602
717667|3045 Festival WAY n, Waldorf, MD 20602|20602
717668|11157 Bunchberry CT , Waldorf, MD 20602|20602
717669|2642 Hamilton PL , Waldorf, MD 20602|20602
717672|5305 Sea Raven CT , Waldorf, MD 20602|20602
717673|4814 Underwood CT , Waldorf, MD 20602|20602
717674|4883 Olympia PL , Waldorf, MD 20602|20602
717675|10744 Cheryl TRN , Waldorf, MD 20602|20602
717676|2491 Lake DR , Waldorf, MD 20602|20602
717677|2992 Waldorf Market PL , Waldorf, MD 20602|20602
