row_seq|street_1|street_2|state|city|zip
674| 7TH ST NW |G ST NW|DC|WASHINGTON|20001
3801| 7TH ST NW |G ST NW|DC|WASHINGTON|20001
2601| I ST NW |4TH ST NW|DC|WASHINGTON|20001
84| 7TH ST NW |T ST NW|DC|WASHINGTON|20001
3806| 16TH ST NE |WEST VIRGINIA AVE NE|DC|WASHINGTON|20002
267| 11TH ST NE |K ST NE|DC|WASHINGTON|20002
2712| NEW YORK AVE NE |SOUTH DAKOTA AVE NE|DC|WASHINGTON|20002
2324| LINCOLN RD NE |TODD PL NE|DC|WASHINGTON|20002
2159| 19TH ST NE |H ST NE|DC|WASHINGTON|20002
931| 15TH ST NE |MARYLAND AVE NE|DC|WASHINGTON|20002
102| 4TH ST NE |PENN ST NE|DC|WASHINGTON|20002
3628| 3RD ST SE |E ST SE|DC|WASHINGTON|20003
3472| 10TH ST SE |NORTH CAROLINA AVE S|DC|WASHINGTON|20003
1919| 8TH ST SE |VIRGINIA AVE SE|DC|WASHINGTON|20003
3789| 9TH ST NW |PENNSYLVANIA AVE NW|DC|WASHINGTON|20004
421| 3RD ST NW |MADISON DR NW|DC|WASHINGTON|20004
1697| PENNSYLVANIA AVE NW |10TH ST NW|DC|WASHINGTON|20004
2177| 13TH ST NW |NEW YORK AVE NW|DC|WASHINGTON|20005
3052| I ST NW |VERMONT AVE NW|DC|WASHINGTON|20005
486| 17TH ST NW |PENNSYLVANIA AVE NW|DC|WASHINGTON|20006
2716| FLORIDA AVE NW |MASSACHUSETTS AVE NW|DC|WASHINGTON|20008
817| VAN NESS ST NW |CONNECTICUT AVE NW|DC|WASHINGTON|20008
1135| 36TH ST NW |ALBEMARLE ST NW|DC|WASHINGTON|20008
3236| 18TH ST NW |FLORIDA AVE NW|DC|WASHINGTON|20009
977| FLORIDA AVE NW |21ST ST NW|DC|WASHINGTON|20009
1932| 14TH ST NW |T ST NW|DC|WASHINGTON|20009
3674| 2ND ST NW |PEABODY ST NW|DC|WASHINGTON|20011
2691| GEORGIA AVE NW |TAYLOR ST NW|DC|WASHINGTON|20011
1768| 5TH ST NW |SOMERSET PL NW|DC|WASHINGTON|20011
2155| GEORGIA AVE NW |DECATUR ST NW|DC|WASHINGTON|20011
1844| MISSOURI AVE NW |GEORGIA AVE NW|DC|WASHINGTON|20011
290| NEW HAMPSHIRE AVE NE |NORTH CAPITOL ST|DC|WASHINGTON|20011
989| 4TH ST NW |DECATUR ST NW|DC|WASHINGTON|20011
2115| KALMIA RD NW |14TH ST NW|DC|WASHINGTON|20012
1362| VAN BUREN ST NW |SANDY SPRING RD NW|DC|WASHINGTON|20012
2248| 16TH ST NW |JONQUIL ST NW|DC|WASHINGTON|20012
